age, workclass, native-country, sex, race, marital-status, income
[23 - 39], [12 - 13], [0 - 2174], 0, [40 - 56], gov, United-States, Male, White, Not-in-family, Other, Never-married, <=50K
[26 - 45], [11 - 14], [0 - 14084], [0 - 1876], [40 - 50], Private, United-States, Female, White, Not-in-family, Prof-specialty, Never-married, >50K
[26 - 45], [11 - 14], [0 - 14084], [0 - 1876], [40 - 50], Private, United-States, Female, White, Not-in-family, Prof-specialty, Never-married, <=50K
[42 - 76], [13 - 14], [0 - 15024], 0, [40 - 60], Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[42 - 76], [13 - 14], [0 - 15024], 0, [40 - 60], Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[42 - 76], [13 - 14], [0 - 15024], 0, [40 - 60], Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[30 - 38], [13 - 16], 0, 0, 40, *, Non-US, Male, *, Husband, Prof-specialty, Married-civ-spouse, >50K
[30 - 38], [13 - 16], 0, 0, 40, *, Non-US, Male, *, Husband, Prof-specialty, Married-civ-spouse, >50K
[30 - 38], [13 - 16], 0, 0, 40, *, Non-US, Male, *, Husband, Prof-specialty, Married-civ-spouse, >50K
[19 - 23], [10 - 13], 0, [0 - 1719], [16 - 30], Private, United-States, Female, White, Own-child, Adm-clerical, Never-married, <=50K
[19 - 23], [10 - 13], 0, [0 - 1719], [16 - 30], Private, United-States, Female, White, Own-child, Adm-clerical, Never-married, <=50K
[19 - 23], [10 - 13], 0, [0 - 1719], [16 - 30], Private, United-States, Female, White, Own-child, Adm-clerical, Never-married, <=50K
[32 - 45], [9 - 12], 0, 0, [40 - 50], Private, United-States, Male, Black, Not-in-family, Nontechnical, Never-married, <=50K
[32 - 45], [9 - 12], 0, 0, [40 - 50], Private, United-States, Male, Black, Not-in-family, Nontechnical, Never-married, <=50K
[32 - 45], [9 - 12], 0, 0, [40 - 50], Private, United-States, Male, Black, Not-in-family, Nontechnical, Never-married, <=50K
[34 - 52], [4 - 13], 0, 0, [40 - 45], Private, Non-US, Male, *, Husband, Other, Married-civ-spouse, <=50K
[34 - 52], [4 - 13], 0, 0, [40 - 45], Private, Non-US, Male, *, Husband, Other, Married-civ-spouse, <=50K
[34 - 52], [4 - 13], 0, 0, [40 - 45], Private, Non-US, Male, *, Husband, Other, Married-civ-spouse, <=50K
[17 - 44], [7 - 12], 0, 0, [10 - 40], self, United-States, Male, White, Own-child, Farming-fishing, Never-married, <=50K
[17 - 44], [7 - 12], 0, 0, [10 - 40], self, United-States, Male, White, Own-child, Farming-fishing, Never-married, <=50K
[17 - 44], [7 - 12], 0, 0, [10 - 40], self, United-States, Male, White, Own-child, Farming-fishing, Never-married, <=50K
[28 - 60], [9 - 10], 0, 0, 40, Private, United-States, Male, White, Unmarried, Technical, Never-married, <=50K
[28 - 60], [9 - 10], 0, 0, 40, Private, United-States, Male, White, Unmarried, Technical, Never-married, >50K
[28 - 60], [9 - 10], 0, 0, 40, Private, United-States, Male, White, Unmarried, Technical, Never-married, <=50K
[30 - 59], [7 - 13], [0 - 2407], 0, [40 - 50], Private, United-States, Male, White, Husband, Sales, Married-civ-spouse, <=50K
[30 - 59], [7 - 13], [0 - 2407], 0, [40 - 50], Private, United-States, Male, White, Husband, Sales, Married-civ-spouse, <=50K
[30 - 59], [7 - 13], [0 - 2407], 0, [40 - 50], Private, United-States, Male, White, Husband, Sales, Married-civ-spouse, <=50K
[33 - 44], [10 - 14], 0, 0, [40 - 45], self, United-States, Female, White, Unmarried, Exec-managerial, Divorced, >50K
[33 - 44], [10 - 14], 0, 0, [40 - 45], self, United-States, Female, White, Unmarried, Exec-managerial, Divorced, <=50K
[33 - 44], [10 - 14], 0, 0, [40 - 45], self, United-States, Female, White, Unmarried, Exec-managerial, Divorced, <=50K
[33 - 42], [14 - 16], 0, 0, [45 - 60], Private, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, >50K
[33 - 42], [14 - 16], 0, 0, [45 - 60], Private, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, >50K
[33 - 42], [14 - 16], 0, 0, [45 - 60], Private, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, <=50K
[31 - 54], [6 - 9], 0, 0, [20 - 40], *, United-States, Female, Black, Unmarried, Other-service, Separated, <=50K
[31 - 54], [6 - 9], 0, 0, [20 - 40], *, United-States, Female, Black, Unmarried, Other-service, Separated, <=50K
[31 - 54], [6 - 9], 0, 0, [20 - 40], *, United-States, Female, Black, Unmarried, Other-service, Separated, <=50K
[22 - 44], [5 - 10], 0, 0, [15 - 40], gov, United-States, Male, Black, Husband, Other, Married-civ-spouse, <=50K
[22 - 44], [5 - 10], 0, 0, [15 - 40], gov, United-States, Male, Black, Husband, Other, Married-civ-spouse, <=50K
[22 - 44], [5 - 10], 0, 0, [15 - 40], gov, United-States, Male, Black, Husband, Other, Married-civ-spouse, <=50K
[43 - 65], [7 - 9], 0, [0 - 2042], [16 - 40], Private, United-States, Male, White, Husband, Transport-moving, Married-civ-spouse, <=50K
[43 - 65], [7 - 9], 0, [0 - 2042], [16 - 40], Private, United-States, Male, White, Husband, Transport-moving, Married-civ-spouse, <=50K
[43 - 65], [7 - 9], 0, [0 - 2042], [16 - 40], Private, United-States, Male, White, Husband, Transport-moving, Married-civ-spouse, <=50K
[34 - 59], [9 - 10], 0, 0, [25 - 40], Private, United-States, Female, White, Unmarried, Technical, Divorced, <=50K
[34 - 59], [9 - 10], 0, 0, [25 - 40], Private, United-States, Female, White, Unmarried, Technical, Divorced, <=50K
[34 - 59], [9 - 10], 0, 0, [25 - 40], Private, United-States, Female, White, Unmarried, Technical, Divorced, <=50K
[37 - 56], [8 - 13], 0, 0, [40 - 50], Local-gov, United-States, Male, White, Husband, Tech-support, Married-civ-spouse, >50K
[37 - 56], [8 - 13], 0, 0, [40 - 50], Local-gov, United-States, Male, White, Husband, Tech-support, Married-civ-spouse, >50K
[37 - 56], [8 - 13], 0, 0, [40 - 50], Local-gov, United-States, Male, White, Husband, Tech-support, Married-civ-spouse, <=50K
[19 - 24], 9, 0, 0, [35 - 40], Private, United-States, Male, White, Own-child, Craft-repair, Never-married, <=50K
[19 - 24], 9, 0, 0, [35 - 40], Private, United-States, Male, White, Own-child, Craft-repair, Never-married, <=50K
[19 - 24], 9, 0, 0, [35 - 40], Private, United-States, Male, White, Own-child, Craft-repair, Never-married, <=50K
[36 - 64], [7 - 9], 0, [0 - 2179], 40, Private, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, <=50K
[36 - 64], [7 - 9], 0, [0 - 2179], 40, Private, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, <=50K
[36 - 64], [7 - 9], 0, [0 - 2179], 40, Private, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, <=50K
[19 - 23], [9 - 10], 0, 0, [35 - 44], Private, United-States, Male, Black, Own-child, *, Never-married, <=50K
[19 - 23], [9 - 10], 0, 0, [35 - 44], Private, United-States, Male, Black, Own-child, *, Never-married, <=50K
[19 - 23], [9 - 10], 0, 0, [35 - 44], Private, United-States, Male, Black, Own-child, *, Never-married, <=50K
[34 - 47], [9 - 13], 0, [0 - 1408], [40 - 55], Private, United-States, Male, White, Own-child, Nontechnical, Divorced, <=50K
[34 - 47], [9 - 13], 0, [0 - 1408], [40 - 55], Private, United-States, Male, White, Own-child, Nontechnical, Divorced, <=50K
[34 - 47], [9 - 13], 0, [0 - 1408], [40 - 55], Private, United-States, Male, White, Own-child, Nontechnical, Divorced, <=50K
[30 - 38], [9 - 10], 0, 0, [40 - 42], Federal-gov, United-States, Male, White, *, Adm-clerical, Married-civ-spouse, <=50K
[30 - 38], [9 - 10], 0, 0, [40 - 42], Federal-gov, United-States, Male, White, *, Adm-clerical, Married-civ-spouse, >50K
[30 - 38], [9 - 10], 0, 0, [40 - 42], Federal-gov, United-States, Male, White, *, Adm-clerical, Married-civ-spouse, >50K
[27 - 48], [5 - 10], 0, 0, [40 - 50], Private, Non-US, Male, White, *, Technical, Never-married, <=50K
[27 - 48], [5 - 10], 0, 0, [40 - 50], Private, Non-US, Male, White, *, Technical, Never-married, <=50K
[27 - 48], [5 - 10], 0, 0, [40 - 50], Private, Non-US, Male, White, *, Technical, Never-married, <=50K
[18 - 21], [8 - 10], 0, 0, [30 - 40], Private, United-States, Male, White, Own-child, Machine-op-inspct, Never-married, <=50K
[18 - 21], [8 - 10], 0, 0, [30 - 40], Private, United-States, Male, White, Own-child, Machine-op-inspct, Never-married, <=50K
[18 - 21], [8 - 10], 0, 0, [30 - 40], Private, United-States, Male, White, Own-child, Machine-op-inspct, Never-married, <=50K
[19 - 53], [9 - 11], 0, 0, [25 - 40], Private, United-States, Female, White, Wife, Adm-clerical, *, <=50K
[19 - 53], [9 - 11], 0, 0, [25 - 40], Private, United-States, Female, White, Wife, Adm-clerical, *, >50K
[19 - 53], [9 - 11], 0, 0, [25 - 40], Private, United-States, Female, White, Wife, Adm-clerical, *, <=50K
[48 - 53], [12 - 16], 0, [0 - 1902], [40 - 60], Self-emp-not-inc, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, <=50K
[48 - 53], [12 - 16], 0, [0 - 1902], [40 - 60], Self-emp-not-inc, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, <=50K
[48 - 53], [12 - 16], 0, [0 - 1902], [40 - 60], Self-emp-not-inc, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, >50K
[30 - 53], [5 - 9], [0 - 5013], 0, [38 - 43], Private, United-States, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, <=50K
[30 - 53], [5 - 9], [0 - 5013], 0, [38 - 43], Private, United-States, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, <=50K
[30 - 53], [5 - 9], [0 - 5013], 0, [38 - 43], Private, United-States, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, <=50K
[24 - 47], [10 - 13], 0, 0, [40 - 50], Private, United-States, Male, White, Husband, Tech-support, Married-civ-spouse, <=50K
[24 - 47], [10 - 13], 0, 0, [40 - 50], Private, United-States, Male, White, Husband, Tech-support, Married-civ-spouse, >50K
[24 - 47], [10 - 13], 0, 0, [40 - 50], Private, United-States, Male, White, Husband, Tech-support, Married-civ-spouse, <=50K
[32 - 49], [6 - 12], 0, 0, [40 - 42], Private, United-States, Female, White, Unmarried, Other, Separated, <=50K
[32 - 49], [6 - 12], 0, 0, [40 - 42], Private, United-States, Female, White, Unmarried, Other, Separated, <=50K
[32 - 49], [6 - 12], 0, 0, [40 - 42], Private, United-States, Female, White, Unmarried, Other, Separated, <=50K
[21 - 25], [9 - 13], 0, 0, [35 - 40], Private, United-States, Male, White, Not-in-family, Handlers-cleaners, Never-married, <=50K
[21 - 25], [9 - 13], 0, 0, [35 - 40], Private, United-States, Male, White, Not-in-family, Handlers-cleaners, Never-married, <=50K
[21 - 25], [9 - 13], 0, 0, [35 - 40], Private, United-States, Male, White, Not-in-family, Handlers-cleaners, Never-married, <=50K
[41 - 57], [11 - 13], 0, 0, 40, gov, United-States, Male, Black, Husband, Technical, Married-civ-spouse, >50K
[41 - 57], [11 - 13], 0, 0, 40, gov, United-States, Male, Black, Husband, Technical, Married-civ-spouse, >50K
[41 - 57], [11 - 13], 0, 0, 40, gov, United-States, Male, Black, Husband, Technical, Married-civ-spouse, <=50K
[28 - 41], [11 - 13], 0, 0, [40 - 50], State-gov, United-States, Male, White, Husband, Technical, Married-civ-spouse, <=50K
[28 - 41], [11 - 13], 0, 0, [40 - 50], State-gov, United-States, Male, White, Husband, Technical, Married-civ-spouse, >50K
[28 - 41], [11 - 13], 0, 0, [40 - 50], State-gov, United-States, Male, White, Husband, Technical, Married-civ-spouse, >50K
[28 - 49], [11 - 15], 0, 0, [43 - 60], Private, United-States, Male, White, Not-in-family, Prof-specialty, Never-married, <=50K
[28 - 49], [11 - 15], 0, 0, [43 - 60], Private, United-States, Male, White, Not-in-family, Prof-specialty, Never-married, >50K
[28 - 49], [11 - 15], 0, 0, [43 - 60], Private, United-States, Male, White, Not-in-family, Prof-specialty, Never-married, <=50K
[25 - 41], [10 - 12], [0 - 4064], 0, [25 - 50], Private, United-States, Female, *, Wife, Nontechnical, Married-civ-spouse, <=50K
[25 - 41], [10 - 12], [0 - 4064], 0, [25 - 50], Private, United-States, Female, *, Wife, Nontechnical, Married-civ-spouse, >50K
[25 - 41], [10 - 12], [0 - 4064], 0, [25 - 50], Private, United-States, Female, *, Wife, Nontechnical, Married-civ-spouse, <=50K
[47 - 50], [9 - 13], 0, 0, [40 - 60], *, United-States, Male, White, Not-in-family, Exec-managerial, Divorced, >50K
[47 - 50], [9 - 13], 0, 0, [40 - 60], *, United-States, Male, White, Not-in-family, Exec-managerial, Divorced, <=50K
[47 - 50], [9 - 13], 0, 0, [40 - 60], *, United-States, Male, White, Not-in-family, Exec-managerial, Divorced, <=50K
[40 - 52], [2 - 4], 0, 0, 40, Private, Non-US, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, <=50K
[40 - 52], [2 - 4], 0, 0, 40, Private, Non-US, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, >50K
[40 - 52], [2 - 4], 0, 0, 40, Private, Non-US, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, <=50K
[31 - 41], [9 - 12], 0, 0, [40 - 48], Private, United-States, Male, White, Husband, Adm-clerical, Married-civ-spouse, <=50K
[31 - 41], [9 - 12], 0, 0, [40 - 48], Private, United-States, Male, White, Husband, Adm-clerical, Married-civ-spouse, <=50K
[31 - 41], [9 - 12], 0, 0, [40 - 48], Private, United-States, Male, White, Husband, Adm-clerical, Married-civ-spouse, >50K
[29 - 39], [9 - 10], 0, 0, [40 - 60], Private, United-States, Male, White, Not-in-family, Technical, Divorced, <=50K
[29 - 39], [9 - 10], 0, 0, [40 - 60], Private, United-States, Male, White, Not-in-family, Technical, Divorced, <=50K
[29 - 39], [9 - 10], 0, 0, [40 - 60], Private, United-States, Male, White, Not-in-family, Technical, Divorced, <=50K
[28 - 65], [9 - 10], 0, 0, 40, Private, United-States, Female, White, Not-in-family, Adm-clerical, Divorced, <=50K
[28 - 65], [9 - 10], 0, 0, 40, Private, United-States, Female, White, Not-in-family, Adm-clerical, Divorced, <=50K
[28 - 65], [9 - 10], 0, 0, 40, Private, United-States, Female, White, Not-in-family, Adm-clerical, Divorced, <=50K
[49 - 63], [9 - 13], 0, 0, [40 - 50], Self-emp-inc, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[49 - 63], [9 - 13], 0, 0, [40 - 50], Self-emp-inc, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[49 - 63], [9 - 13], 0, 0, [40 - 50], Self-emp-inc, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[19 - 31], [10 - 16], 0, 0, [25 - 40], Private, United-States, Male, White, Own-child, Prof-specialty, Never-married, <=50K
[19 - 31], [10 - 16], 0, 0, [25 - 40], Private, United-States, Male, White, Own-child, Prof-specialty, Never-married, <=50K
[19 - 31], [10 - 16], 0, 0, [25 - 40], Private, United-States, Male, White, Own-child, Prof-specialty, Never-married, <=50K
[27 - 53], [9 - 13], 0, 0, [35 - 40], Private, United-States, Female, *, Own-child, Sales, *, <=50K
[27 - 53], [9 - 13], 0, 0, [35 - 40], Private, United-States, Female, *, Own-child, Sales, *, <=50K
[27 - 53], [9 - 13], 0, 0, [35 - 40], Private, United-States, Female, *, Own-child, Sales, *, <=50K
[29 - 77], [10 - 14], 0, 0, [40 - 70], Self-emp-not-inc, United-States, Male, White, Husband, Sales, Married-civ-spouse, >50K
[29 - 77], [10 - 14], 0, 0, [40 - 70], Self-emp-not-inc, United-States, Male, White, Husband, Sales, Married-civ-spouse, >50K
[29 - 77], [10 - 14], 0, 0, [40 - 70], Self-emp-not-inc, United-States, Male, White, Husband, Sales, Married-civ-spouse, <=50K
[23 - 26], [9 - 10], 0, 0, 40, Private, United-States, Male, White, Not-in-family, Machine-op-inspct, Never-married, <=50K
[23 - 26], [9 - 10], 0, 0, 40, Private, United-States, Male, White, Not-in-family, Machine-op-inspct, Never-married, <=50K
[23 - 26], [9 - 10], 0, 0, 40, Private, United-States, Male, White, Not-in-family, Machine-op-inspct, Never-married, <=50K
[35 - 79], [10 - 14], [0 - 7298], 0, [20 - 40], Private, United-States, Male, White, *, Prof-specialty, Married-civ-spouse, <=50K
[35 - 79], [10 - 14], [0 - 7298], 0, [20 - 40], Private, United-States, Male, White, *, Prof-specialty, Married-civ-spouse, >50K
[35 - 79], [10 - 14], [0 - 7298], 0, [20 - 40], Private, United-States, Male, White, *, Prof-specialty, Married-civ-spouse, <=50K
[19 - 27], [3 - 10], 0, 0, [30 - 40], Private, Non-US, Male, White, Own-child, Other-service, Never-married, <=50K
[19 - 27], [3 - 10], 0, 0, [30 - 40], Private, Non-US, Male, White, Own-child, Other-service, Never-married, <=50K
[19 - 27], [3 - 10], 0, 0, [30 - 40], Private, Non-US, Male, White, Own-child, Other-service, Never-married, <=50K
[18 - 21], [7 - 10], 0, 0, [22 - 40], Private, United-States, Female, White, Own-child, Other-service, Never-married, <=50K
[18 - 21], [7 - 10], 0, 0, [22 - 40], Private, United-States, Female, White, Own-child, Other-service, Never-married, <=50K
[18 - 21], [7 - 10], 0, 0, [22 - 40], Private, United-States, Female, White, Own-child, Other-service, Never-married, <=50K
[31 - 54], [4 - 10], 0, 0, 40, Local-gov, United-States, Male, White, Husband, Other, Married-civ-spouse, <=50K
[31 - 54], [4 - 10], 0, 0, 40, Local-gov, United-States, Male, White, Husband, Other, Married-civ-spouse, <=50K
[31 - 54], [4 - 10], 0, 0, 40, Local-gov, United-States, Male, White, Husband, Other, Married-civ-spouse, >50K
[18 - 30], [5 - 13], 0, 0, [30 - 40], Private, United-States, Male, White, Not-in-family, Sales, Never-married, <=50K
[18 - 30], [5 - 13], 0, 0, [30 - 40], Private, United-States, Male, White, Not-in-family, Sales, Never-married, <=50K
[18 - 30], [5 - 13], 0, 0, [30 - 40], Private, United-States, Male, White, Not-in-family, Sales, Never-married, <=50K
[35 - 46], [6 - 9], 0, 0, [24 - 40], Private, United-States, Female, White, Wife, Other-service, Married-civ-spouse, <=50K
[35 - 46], [6 - 9], 0, 0, [24 - 40], Private, United-States, Female, White, Wife, Other-service, Married-civ-spouse, <=50K
[35 - 46], [6 - 9], 0, 0, [24 - 40], Private, United-States, Female, White, Wife, Other-service, Married-civ-spouse, >50K
[41 - 46], [3 - 11], [0 - 14344], [0 - 2339], [40 - 45], Private, United-States, Female, White, Not-in-family, Craft-repair, Divorced, >50K
[41 - 46], [3 - 11], [0 - 14344], [0 - 2339], [40 - 45], Private, United-States, Female, White, Not-in-family, Craft-repair, Divorced, <=50K
[41 - 46], [3 - 11], [0 - 14344], [0 - 2339], [40 - 45], Private, United-States, Female, White, Not-in-family, Craft-repair, Divorced, <=50K
[42 - 58], [10 - 16], 0, [0 - 1340], [40 - 50], gov, United-States, Female, White, Not-in-family, Prof-specialty, Never-married, >50K
[42 - 58], [10 - 16], 0, [0 - 1340], [40 - 50], gov, United-States, Female, White, Not-in-family, Prof-specialty, Never-married, <=50K
[42 - 58], [10 - 16], 0, [0 - 1340], [40 - 50], gov, United-States, Female, White, Not-in-family, Prof-specialty, Never-married, <=50K
[28 - 46], [10 - 12], 0, 0, [25 - 36], Private, United-States, Female, Black, *, Technical, Divorced, <=50K
[28 - 46], [10 - 12], 0, 0, [25 - 36], Private, United-States, Female, Black, *, Technical, Divorced, <=50K
[28 - 46], [10 - 12], 0, 0, [25 - 36], Private, United-States, Female, Black, *, Technical, Divorced, <=50K
[34 - 41], [10 - 13], 0, 0, 40, Local-gov, United-States, Male, White, Husband, Protective-serv, Married-civ-spouse, >50K
[34 - 41], [10 - 13], 0, 0, 40, Local-gov, United-States, Male, White, Husband, Protective-serv, Married-civ-spouse, <=50K
[34 - 41], [10 - 13], 0, 0, 40, Local-gov, United-States, Male, White, Husband, Protective-serv, Married-civ-spouse, >50K
[24 - 39], [9 - 12], 0, 0, [40 - 50], *, United-States, Male, White, Not-in-family, Nontechnical, Never-married, <=50K
[24 - 39], [9 - 12], 0, 0, [40 - 50], *, United-States, Male, White, Not-in-family, Nontechnical, Never-married, <=50K
[24 - 39], [9 - 12], 0, 0, [40 - 50], *, United-States, Male, White, Not-in-family, Nontechnical, Never-married, <=50K
[37 - 55], [10 - 13], 0, 0, [48 - 56], Private, United-States, Male, White, Husband, Sales, Married-civ-spouse, >50K
[37 - 55], [10 - 13], 0, 0, [48 - 56], Private, United-States, Male, White, Husband, Sales, Married-civ-spouse, <=50K
[37 - 55], [10 - 13], 0, 0, [48 - 56], Private, United-States, Male, White, Husband, Sales, Married-civ-spouse, <=50K
[36 - 58], [10 - 12], 0, 0, [40 - 42], Private, Non-US, Female, White, Unmarried, *, Divorced, <=50K
[36 - 58], [10 - 12], 0, 0, [40 - 42], Private, Non-US, Female, White, Unmarried, *, Divorced, <=50K
[36 - 58], [10 - 12], 0, 0, [40 - 42], Private, Non-US, Female, White, Unmarried, *, Divorced, <=50K
[24 - 32], 9, 0, [0 - 1721], [30 - 60], *, United-States, Male, Black, Own-child, Other, Never-married, <=50K
[24 - 32], 9, 0, [0 - 1721], [30 - 60], *, United-States, Male, Black, Own-child, Other, Never-married, <=50K
[24 - 32], 9, 0, [0 - 1721], [30 - 60], *, United-States, Male, Black, Own-child, Other, Never-married, <=50K
[33 - 47], [12 - 14], 0, 0, [33 - 50], self, United-States, Female, White, Not-in-family, Prof-specialty, Never-married, <=50K
[33 - 47], [12 - 14], 0, 0, [33 - 50], self, United-States, Female, White, Not-in-family, Prof-specialty, Never-married, <=50K
[33 - 47], [12 - 14], 0, 0, [33 - 50], self, United-States, Female, White, Not-in-family, Prof-specialty, Never-married, <=50K
[20 - 36], [9 - 10], 0, 0, 40, Private, United-States, Female, White, Own-child, Technical, Never-married, <=50K
[20 - 36], [9 - 10], 0, 0, 40, Private, United-States, Female, White, Own-child, Technical, Never-married, <=50K
[20 - 36], [9 - 10], 0, 0, 40, Private, United-States, Female, White, Own-child, Technical, Never-married, <=50K
[22 - 29], [9 - 13], 0, 0, [40 - 50], Private, United-States, Male, White, Not-in-family, Craft-repair, Never-married, <=50K
[22 - 29], [9 - 13], 0, 0, [40 - 50], Private, United-States, Male, White, Not-in-family, Craft-repair, Never-married, <=50K
[22 - 29], [9 - 13], 0, 0, [40 - 50], Private, United-States, Male, White, Not-in-family, Craft-repair, Never-married, <=50K
[32 - 61], [9 - 10], [0 - 7688], 0, [40 - 55], Self-emp-inc, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, >50K
[32 - 61], [9 - 10], [0 - 7688], 0, [40 - 55], Self-emp-inc, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, <=50K
[32 - 61], [9 - 10], [0 - 7688], 0, [40 - 55], Self-emp-inc, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, >50K
[18 - 30], [7 - 9], 0, 0, [16 - 40], Private, United-States, Male, White, Own-child, Handlers-cleaners, Never-married, <=50K
[18 - 30], [7 - 9], 0, 0, [16 - 40], Private, United-States, Male, White, Own-child, Handlers-cleaners, Never-married, <=50K
[18 - 30], [7 - 9], 0, 0, [16 - 40], Private, United-States, Male, White, Own-child, Handlers-cleaners, Never-married, <=50K
[31 - 40], [9 - 10], 0, 0, [38 - 40], *, United-States, Female, White, Not-in-family, Adm-clerical, Never-married, <=50K
[31 - 40], [9 - 10], 0, 0, [38 - 40], *, United-States, Female, White, Not-in-family, Adm-clerical, Never-married, <=50K
[31 - 40], [9 - 10], 0, 0, [38 - 40], *, United-States, Female, White, Not-in-family, Adm-clerical, Never-married, <=50K
[31 - 53], [5 - 10], 0, 0, [40 - 50], Private, United-States, Male, White, Husband, Handlers-cleaners, Married-civ-spouse, <=50K
[31 - 53], [5 - 10], 0, 0, [40 - 50], Private, United-States, Male, White, Husband, Handlers-cleaners, Married-civ-spouse, <=50K
[31 - 53], [5 - 10], 0, 0, [40 - 50], Private, United-States, Male, White, Husband, Handlers-cleaners, Married-civ-spouse, <=50K
[24 - 70], [9 - 13], [0 - 4101], 0, [40 - 50], Private, United-States, Male, White, Other-relative, *, Never-married, <=50K
[24 - 70], [9 - 13], [0 - 4101], 0, [40 - 50], Private, United-States, Male, White, Other-relative, *, Never-married, <=50K
[24 - 70], [9 - 13], [0 - 4101], 0, [40 - 50], Private, United-States, Male, White, Other-relative, *, Never-married, <=50K
[33 - 45], [13 - 15], 0, 0, [40 - 65], Private, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, >50K
[33 - 45], [13 - 15], 0, 0, [40 - 65], Private, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, <=50K
