age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
19,Private,544091,2,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50K
48,Self-emp-not-inc,265477,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,507875,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K
53,Self-emp-not-inc,88506,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,172987,3,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
49,Private,94638,2,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
25,Private,289980,2,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K
57,Federal-gov,337895,3,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
53,Private,144361,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
44,Private,128354,4,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
41,State-gov,101603,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,271466,3,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K
25,Private,32275,3,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50K
47,Private,51835,4,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Non-US,>50K
50,Federal-gov,251585,3,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K
47,Self-emp-inc,109832,2,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
43,Private,237993,3,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
46,Private,216666,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Non-US,<=50K
35,Private,56352,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Non-US,<=50K
41,Private,147372,2,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K
30,Private,188146,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K
30,Private,59496,3,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,<=50K
48,Private,149640,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,116632,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
29,Private,105598,3,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50K
36,Private,155537,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,183175,3,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
53,Private,169846,2,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
49,Self-emp-inc,191681,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
19,Private,101509,3,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K
31,Private,309974,3,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
29,Self-emp-not-inc,162298,3,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K
23,Private,211678,3,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
79,Private,124744,3,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,<=50K
27,Private,213921,2,Never-married,Other-service,Own-child,White,Male,0,0,40,Non-US,<=50K
40,Private,32214,3,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,309634,2,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K
31,Local-gov,125927,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,446839,2,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
52,Private,276515,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Non-US,<=50K
46,Private,51618,2,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
59,Private,159937,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
44,Private,343591,2,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,>50K
53,Private,346253,2,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
49,Local-gov,268234,2,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
33,Private,202051,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
30,Private,54334,2,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,Federal-gov,410867,4,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
57,Private,249977,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,286730,3,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
28,Private,212563,3,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,<=50K
34,Local-gov,226296,3,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
29,Local-gov,115585,3,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
48,Self-emp-not-inc,191277,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,>50K
37,Private,202683,3,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K
48,Private,171095,3,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,Non-US,<=50K
32,Federal-gov,249409,2,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K
76,Private,124191,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
44,Private,198282,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
47,Self-emp-not-inc,149116,4,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
20,Private,188300,3,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,103432,2,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Self-emp-inc,317660,2,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K
30,Private,194901,2,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
31,Local-gov,189265,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
42,Private,124692,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,432376,3,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
38,Private,65324,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
56,Self-emp-not-inc,335605,2,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Non-US,>50K
28,Private,377869,3,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,<=50K
36,Private,102864,2,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
53,Private,95647,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
56,Self-emp-inc,303090,3,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
49,Local-gov,197371,3,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
55,Private,247552,3,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K
22,Private,102632,2,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,<=50K
21,Private,199915,3,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
40,Private,118853,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
30,Private,77143,3,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Non-US,<=50K
29,State-gov,267989,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
19,Private,301606,3,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50K
47,Private,287828,3,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
20,Private,111697,3,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,<=50K
31,Private,114937,3,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
39,Private,365739,3,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,Private,69621,3,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
24,Private,43323,2,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,<=50K
38,Self-emp-not-inc,120985,2,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,<=50K
37,Private,254202,3,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
46,Private,146195,3,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,<=50K
38,Federal-gov,125933,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Non-US,>50K
43,Self-emp-not-inc,56920,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
27,Private,163127,3,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
20,Private,34310,3,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
49,Private,81973,3,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
61,Self-emp-inc,66614,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,232782,3,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
19,Private,316868,3,Never-married,Other-service,Own-child,White,Male,0,0,30,Non-US,<=50K
45,Private,196584,3,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,>50K
70,Private,105376,3,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K
31,Private,185814,2,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,<=50K
22,Private,175374,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,<=50K
36,Private,108293,2,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50K
64,Private,181232,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K
47,Local-gov,186009,3,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Non-US,<=50K
34,Private,198183,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,163003,3,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Non-US,<=50K
21,Private,296158,2,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K
48,Private,187715,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K
23,Private,214542,3,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
71,Self-emp-not-inc,494223,3,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,<=50K
29,Private,191535,2,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
42,Private,228456,3,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,<=50K
25,Private,252752,2,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
44,Self-emp-inc,78374,4,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
28,Private,88419,2,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Non-US,<=50K
45,Self-emp-not-inc,201080,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
36,Private,207157,3,Divorced,Other-service,Unmarried,White,Female,0,0,40,Non-US,<=50K
39,Federal-gov,235485,3,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,<=50K
46,State-gov,102628,4,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K
18,Private,25828,2,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50K
66,Local-gov,54826,3,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
27,Private,124953,2,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K
28,State-gov,175325,2,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,96062,3,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K
27,Private,428030,3,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
28,State-gov,149624,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
27,Private,253814,2,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,United-States,<=50K
21,Private,312956,2,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
34,Private,483777,2,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
18,Private,183930,2,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
33,Private,37274,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50K
44,Local-gov,181344,3,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,United-States,>50K
43,Private,114580,3,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
30,Private,633742,3,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
40,Private,286370,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Non-US,>50K
37,Federal-gov,29054,3,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,>50K
34,Private,304030,2,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
41,Self-emp-not-inc,143129,3,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
31,Private,99928,4,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,<=50K
58,State-gov,109567,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K
38,Private,155222,3,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,<=50K
24,Private,159567,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
41,Local-gov,523910,3,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
47,Private,120939,3,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K
41,Federal-gov,130760,3,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,United-States,<=50K
23,Private,197387,1,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Non-US,<=50K
36,Private,99374,3,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Federal-gov,56795,4,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,United-States,>50K
35,Private,138992,4,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States,>50K
24,Self-emp-not-inc,32921,2,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,397317,4,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K
51,Private,259323,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
42,Local-gov,254817,3,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States,<=50K
37,State-gov,48211,2,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
18,Private,140164,2,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
36,Private,128757,3,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,United-States,>50K
35,Private,36270,2,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
58,Self-emp-inc,210563,2,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,United-States,>50K
17,Private,65368,2,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K
44,Local-gov,160943,2,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
37,Private,208358,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
35,Private,153790,3,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
60,Private,85815,2,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
54,Self-emp-inc,125417,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
37,Private,635913,3,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,>50K
50,Private,313321,3,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Private,182609,3,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Non-US,<=50K
45,Private,109434,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
25,Private,255004,2,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,197860,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
90,Private,51744,2,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,<=50K
54,Private,176681,2,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,<=50K
53,Local-gov,140359,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,<=50K
18,Private,243313,2,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
66,Self-emp-not-inc,167687,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,United-States,<=50K
75,Private,314209,3,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Non-US,<=50K
65,Private,176796,2,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,538583,2,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,<=50K
41,Private,130408,2,Divorced,Sales,Unmarried,Black,Female,0,0,38,United-States,<=50K
25,Private,159732,3,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,<=50K
33,Private,110978,3,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,United-States,<=50K
28,Private,76714,4,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
59,State-gov,268700,2,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
40,State-gov,170525,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K
41,Private,180138,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Non-US,>50K
38,Local-gov,115076,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K
23,Private,115458,2,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
40,Private,347890,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
41,Self-emp-not-inc,196001,2,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,United-States,<=50K
24,State-gov,273905,3,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K
38,Private,179488,3,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,United-States,<=50K
58,Private,236596,2,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50K
32,Private,183916,2,Never-married,Other-service,Not-in-family,White,Female,0,0,34,United-States,<=50K
40,Private,207578,3,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,United-States,>50K
41,Private,112763,4,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
42,Private,390781,3,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
59,Local-gov,171328,2,Widowed,Other-service,Unmarried,Black,Female,0,0,30,United-States,<=50K
19,Local-gov,27382,3,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
58,Private,259014,3,Never-married,Transport-moving,Not-in-family,White,Male,0,0,20,United-States,<=50K
42,Self-emp-not-inc,303044,2,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Non-US,>50K
20,Private,117789,2,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
32,Private,172579,2,Separated,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
45,Private,187666,3,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
50,Private,204518,1,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Private,150042,3,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
45,Private,98092,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
17,Private,245918,2,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
59,Private,146013,3,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,<=50K
26,Private,378322,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
37,Self-emp-inc,257295,3,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75,Non-US,>50K
64,Private,21174,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
33,Private,185480,3,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
33,Private,222205,2,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,>50K
61,Private,69867,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
17,Private,191260,2,Never-married,Other-service,Own-child,White,Male,1055,0,24,United-States,<=50K
50,Self-emp-not-inc,30653,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,2407,0,98,United-States,<=50K
27,Local-gov,209109,4,Never-married,Prof-specialty,Own-child,White,Male,0,0,35,United-States,<=50K
30,Private,70377,2,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
43,Private,477983,2,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
44,Private,170924,3,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,>50K
35,Private,190174,3,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,Private,193787,3,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
24,Private,279472,3,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,7298,0,48,United-States,>50K
22,Private,34918,3,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,15,Non-US,<=50K
42,Local-gov,97688,3,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,>50K
34,Private,175413,3,Divorced,Sales,Unmarried,Black,Female,0,0,45,United-States,<=50K
60,Private,173960,3,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,42,United-States,<=50K
21,Private,205759,2,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
57,Federal-gov,425161,4,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,United-States,>50K
41,Private,220531,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
50,Private,176609,3,Divorced,Other-service,Not-in-family,White,Male,0,0,45,United-States,<=50K
25,Private,371987,3,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
50,Private,193884,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Non-US,<=50K
